Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Smoothed_X,Smoothed_Y
0,1,591.40045,611.63043,570.87933,633.1918,551.5031,653.40753,0.199791951149457,570.9200554304603,633.1576228614995
1,1,592.6671,610.94653,571.97626,632.4765,552.2264,653.7328,0.9650977319197926,571.7693893141582,632.6101986033217
2,1,593.84705,609.92804,572.7543,631.96857,552.7519,653.58954,0.9681343015379584,572.6543427762657,632.0572320571158
3,1,593.9814,609.09344,573.30536,631.5909,553.08417,653.33594,0.3363002785831761,573.5160148880943,631.504573571827
4,1,594.8742,607.9213,574.18036,631.06995,553.3875,652.6937,2.082435058902398,574.2955047209554,630.9580734963998
5,1,597.44836,607.2918,575.2243,630.5071,553.9876,652.68353,0.0197823410294463,574.9339113461601,630.42358217978
6,1,597.918,606.16956,575.0883,629.2578,554.37354,651.98395,2.328349280666677,575.4014743558891,629.8967110913095
7,1,595.7872,606.8733,575.04535,629.7227,554.87616,651.24335,0.9112865274412016,575.7849954257972,629.3321161819193
8,1,597.8018,606.1677,575.7388,628.35736,555.63916,650.6479,2.794773418292934,576.2004167524079,628.6742145229384
9,1,598.42535,606.21497,576.5109,627.49133,556.66943,649.74,4.119606812841202,576.7636805322454,627.8674231856946
10,1,600.9848,604.70844,578.03253,626.1026,557.88544,648.7845,5.39931487627733,577.5149353157875,626.883608988803
11,1,601.37006,603.7015,578.55133,625.0558,558.6559,647.13574,4.877930413846542,578.1911550693292,625.8044377400244
12,1,601.79297,603.1892,578.55994,623.92224,558.9452,645.78925,6.362298614176415,578.5592490915485,624.7390249944061
13,1,601.6844,602.8827,577.72565,622.9269,559.1184,645.32556,10.366347781813252,578.8090425948377,623.7964863069955
14,1,601.0205,603.4949,577.99194,622.9032,560.1281,644.96594,10.879472251482644,579.1791095095471,623.0558657622664
15,1,601.28406,602.61676,579.2662,623.2792,560.75757,644.9484,6.316989595123732,579.6801027241447,622.4759215623994
16,1,603.2076,601.63965,580.52246,622.9226,560.9692,645.0445,5.353463450085407,580.2656948666277,621.9853404390014
17,1,604.0361,600.76556,581.46857,622.79236,561.6849,644.41705,3.240329955232657,580.8895585649933,621.5128091236799
18,1,605.08636,599.1758,581.79834,621.76526,561.8494,643.96606,3.930491724413168,581.511187661409,621.0009378140269
19,1,606.8545,596.2625,582.5207,620.0749,561.6962,643.3492,3.800193678482338,582.1133608547225,620.448030571577
20,1,606.92957,595.478,582.8542,619.9149,562.3571,642.7155,2.6184563679829647,582.6846780579519,619.8663149238499
21,1,607.53156,595.08185,583.2842,619.335,562.61206,642.2019,2.878888355011054,583.2137391841148,619.2680183983655
22,1,607.10156,594.7369,583.7832,618.77405,563.1052,641.1019,1.3273643204734906,583.6891441462294,618.6653685226429
23,1,606.087,595.2527,583.5128,618.59753,563.0438,640.3037,0.7184605482923125,584.0994928573131,618.0705928242023
24,1,603.8204,595.0415,583.0627,618.56134,562.7101,639.0691,3.3521110579720865,584.4333852303844,617.4959188305634
25,1,603.784,593.6799,583.37036,617.4006,563.1464,637.8793,3.9266535769633495,584.6794211784605,616.9535740692459
26,1,603.9009,592.5421,583.7302,616.5249,563.4519,637.7449,3.634695997152571,584.8286908653287,616.4549111458242
27,1,603.9279,592.6105,583.76843,616.2673,563.4187,637.2864,3.6364732798773503,584.8822454578494,616.0077829780944
28,1,604.93787,592.67194,583.52795,615.7775,563.6114,637.3727,0.1341703946898555,584.8436263736525,615.6191675619068
29,1,605.47314,593.0569,583.5059,615.53424,563.7438,637.3592,2.182116010950895,584.7163750303678,615.296042893112
30,1,605.4092,594.8253,583.2779,615.70026,564.0332,637.56006,5.313637545326582,584.5124815123293,615.0453869675611
31,1,605.0327,597.3658,582.62415,616.33203,564.10767,637.46576,8.53251055424862,584.2777305706893,614.8741777811041
32,1,604.29956,599.5222,581.9659,616.9695,564.66034,637.8092,12.296098147835888,584.0663556233052,614.7893933295919
33,1,607.81085,602.2141,583.27124,616.16815,564.9302,638.26373,20.680673810134348,583.932590088034,614.7980116088752
34,1,608.03235,604.99133,583.5916,616.8452,564.89844,638.0691,22.75401691963431,583.9316182613619,614.9034729301572
35,1,608.7265,607.18353,584.61383,616.80176,564.98846,637.78955,25.174946604607975,584.1224279542927,615.0950668660525
36,1,611.2628,609.5345,585.9584,616.90845,565.37054,637.8156,29.194282051283228,584.564957856459,615.3585453045282
37,1,613.6119,613.1903,587.1856,617.3861,565.79333,637.98914,34.901564867776074,585.2595832005137,615.6796601335512
38,1,615.4603,617.0656,587.49634,617.57245,565.95245,637.5481,41.79855443508573,585.9684253911881,616.044163241089
39,1,614.85034,617.6594,587.22516,617.64215,566.2033,637.60034,43.549012380854506,586.4608072146113,616.4378065151082
40,1,612.65857,616.89453,586.8711,618.264,566.7718,638.2477,41.79492151941821,586.7731108104233,616.8463418435762
41,1,613.1321,618.3295,587.3235,618.49615,567.27783,638.2536,44.2152280697382,587.0084831566419,617.2555211144601
42,1,614.41077,621.37964,587.4224,618.54504,566.8097,637.9647,49.28877256521103,587.270071231285,617.6510962157271
43,1,615.0533,622.50854,587.845,619.05725,566.7081,637.58746,48.46954095255382,587.6416127658568,618.0169777414753
44,1,615.9173,622.3227,588.11597,619.181,567.0693,637.59106,47.624255307868985,588.1292085058058,618.3297111103291
