ID,Other_ID,Start_Frame,End_Frame,Duration
2.0,3.0,133.0,160.0,28.0
2.0,3.0,173.0,188.0,16.0
2.0,3.0,200.0,202.0,3.0
2.0,3.0,213.0,225.0,13.0
2.0,5.0,131.0,160.0,30.0
2.0,5.0,177.0,191.0,15.0
2.0,5.0,208.0,208.0,1.0
2.0,6.0,137.0,153.0,17.0
2.0,6.0,165.0,174.0,10.0
2.0,6.0,181.0,185.0,5.0
2.0,6.0,201.0,202.0,2.0
2.0,6.0,228.0,228.0,1.0
2.0,6.0,279.0,287.0,9.0
2.0,6.0,293.0,305.0,13.0
2.0,9.0,119.0,119.0,1.0
2.0,9.0,130.0,130.0,1.0
2.0,9.0,147.0,162.0,16.0
2.0,9.0,171.0,185.0,15.0
3.0,5.0,112.0,112.0,1.0
3.0,5.0,131.0,138.0,8.0
3.0,5.0,144.0,153.0,10.0
3.0,5.0,170.0,195.0,26.0
3.0,5.0,210.0,214.0,5.0
3.0,6.0,114.0,114.0,1.0
3.0,6.0,136.0,160.0,25.0
3.0,6.0,181.0,188.0,8.0
3.0,6.0,195.0,206.0,12.0
3.0,6.0,217.0,221.0,5.0
3.0,9.0,146.0,160.0,15.0
3.0,9.0,170.0,173.0,4.0
3.0,9.0,180.0,182.0,3.0
3.0,9.0,210.0,211.0,2.0
4.0,9.0,2.0,3.0,2.0
5.0,6.0,135.0,158.0,24.0
5.0,6.0,169.0,170.0,2.0
5.0,6.0,185.0,185.0,1.0
5.0,6.0,195.0,195.0,1.0
5.0,6.0,213.0,215.0,3.0
5.0,9.0,146.0,148.0,3.0
5.0,9.0,154.0,158.0,5.0
5.0,9.0,169.0,170.0,2.0
5.0,9.0,177.0,177.0,1.0
5.0,9.0,183.0,185.0,3.0
5.0,9.0,210.0,221.0,12.0
6.0,9.0,1.0,1.0,1.0
6.0,9.0,126.0,132.0,7.0
6.0,9.0,148.0,155.0,8.0
6.0,9.0,169.0,185.0,17.0
6.0,9.0,210.0,213.0,4.0
