ID,Other_ID,Start_Frame,End_Frame,Duration
1.0,2.0,4509.0,4509.0,1.0
1.0,2.0,4515.0,4515.0,1.0
1.0,3.0,4215.0,4216.0,2.0
1.0,4.0,4124.0,4130.0,7.0
1.0,4.0,4149.0,4150.0,2.0
1.0,5.0,121.0,132.0,12.0
1.0,5.0,147.0,149.0,3.0
1.0,5.0,3338.0,3355.0,18.0
1.0,5.0,3361.0,3363.0,3.0
1.0,5.0,3371.0,3371.0,1.0
1.0,5.0,3379.0,3383.0,5.0
1.0,5.0,5112.0,5116.0,5.0
1.0,5.0,5128.0,5129.0,2.0
1.0,6.0,408.0,410.0,3.0
1.0,6.0,438.0,438.0,1.0
1.0,6.0,450.0,451.0,2.0
1.0,6.0,1189.0,1192.0,4.0
1.0,6.0,1993.0,1993.0,1.0
1.0,8.0,2550.0,2550.0,1.0
1.0,8.0,2881.0,2883.0,3.0
1.0,8.0,2891.0,2898.0,8.0
1.0,8.0,2961.0,2962.0,2.0
1.0,8.0,3603.0,3607.0,5.0
1.0,9.0,4509.0,4509.0,1.0
1.0,10.0,1822.0,1826.0,5.0
1.0,10.0,1875.0,1883.0,9.0
1.0,10.0,1930.0,1932.0,3.0
1.0,10.0,1941.0,1941.0,1.0
2.0,3.0,2162.0,2166.0,5.0
2.0,3.0,3232.0,3233.0,2.0
2.0,3.0,3244.0,3244.0,1.0
2.0,3.0,3298.0,3304.0,7.0
2.0,3.0,3442.0,3447.0,6.0
2.0,3.0,3833.0,3833.0,1.0
2.0,3.0,3907.0,3908.0,2.0
2.0,3.0,3946.0,3946.0,1.0
2.0,3.0,3958.0,3958.0,1.0
2.0,3.0,3980.0,3980.0,1.0
2.0,3.0,4010.0,4010.0,1.0
2.0,3.0,4051.0,4053.0,3.0
2.0,3.0,4069.0,4069.0,1.0
2.0,3.0,5079.0,5081.0,3.0
2.0,3.0,5120.0,5121.0,2.0
2.0,4.0,5542.0,5544.0,3.0
2.0,4.0,5559.0,5563.0,5.0
2.0,5.0,1966.0,1970.0,5.0
2.0,5.0,2308.0,2311.0,4.0
2.0,5.0,2317.0,2319.0,3.0
2.0,7.0,2568.0,2569.0,2.0
2.0,7.0,2803.0,2803.0,1.0
2.0,8.0,2466.0,2477.0,12.0
2.0,8.0,2494.0,2494.0,1.0
2.0,8.0,4983.0,4983.0,1.0
2.0,9.0,3851.0,3855.0,5.0
2.0,9.0,3886.0,3891.0,6.0
2.0,9.0,3901.0,3905.0,5.0
2.0,9.0,3911.0,3918.0,8.0
2.0,9.0,3924.0,3932.0,9.0
2.0,9.0,3942.0,3947.0,6.0
2.0,9.0,3956.0,3958.0,3.0
2.0,9.0,3970.0,3970.0,1.0
