ID,Other_ID,Start_Frame,End_Frame,Duration
1.0,2.0,3434.0,3434.0,1.0
1.0,2.0,3447.0,3454.0,8.0
1.0,2.0,3477.0,3478.0,2.0
1.0,2.0,3576.0,3577.0,2.0
1.0,2.0,3583.0,3602.0,20.0
1.0,2.0,3608.0,3611.0,4.0
1.0,3.0,364.0,365.0,2.0
1.0,3.0,400.0,401.0,2.0
1.0,3.0,416.0,419.0,4.0
1.0,3.0,429.0,430.0,2.0
1.0,3.0,436.0,436.0,1.0
1.0,3.0,454.0,461.0,8.0
1.0,3.0,475.0,486.0,12.0
1.0,3.0,494.0,498.0,5.0
1.0,3.0,542.0,545.0,4.0
1.0,4.0,822.0,824.0,3.0
1.0,4.0,916.0,922.0,7.0
1.0,4.0,938.0,942.0,5.0
1.0,4.0,3960.0,3976.0,17.0
1.0,4.0,3983.0,3985.0,3.0
1.0,4.0,3996.0,4000.0,5.0
1.0,4.0,4009.0,4009.0,1.0
1.0,6.0,354.0,355.0,2.0
1.0,6.0,378.0,385.0,8.0
1.0,6.0,448.0,450.0,3.0
1.0,6.0,1610.0,1610.0,1.0
1.0,6.0,1647.0,1649.0,3.0
1.0,6.0,1679.0,1689.0,11.0
1.0,6.0,1702.0,1707.0,6.0
1.0,7.0,1629.0,1649.0,21.0
1.0,7.0,1679.0,1689.0,11.0
1.0,7.0,1706.0,1710.0,5.0
1.0,7.0,1769.0,1783.0,15.0
1.0,7.0,1804.0,1804.0,1.0
1.0,7.0,1847.0,1853.0,7.0
1.0,7.0,1894.0,1902.0,9.0
1.0,7.0,1910.0,1922.0,13.0
1.0,7.0,1959.0,1959.0,1.0
1.0,7.0,1965.0,1965.0,1.0
1.0,7.0,2039.0,2048.0,10.0
1.0,7.0,2070.0,2071.0,2.0
1.0,7.0,2136.0,2136.0,1.0
1.0,7.0,2872.0,2873.0,2.0
1.0,7.0,2887.0,2899.0,13.0
1.0,7.0,2924.0,2932.0,9.0
1.0,7.0,2941.0,2950.0,10.0
1.0,7.0,2967.0,2974.0,8.0
1.0,7.0,3013.0,3021.0,9.0
1.0,7.0,3028.0,3031.0,4.0
1.0,8.0,357.0,365.0,9.0
1.0,8.0,439.0,448.0,10.0
1.0,8.0,454.0,455.0,2.0
1.0,8.0,471.0,472.0,2.0
1.0,8.0,493.0,496.0,4.0
1.0,8.0,1618.0,1639.0,22.0
1.0,8.0,1649.0,1650.0,2.0
