ID,Other_ID,Start_Frame,End_Frame,Duration
1,8,2715,2742,28
1,10,644,698,55
1,10,4797,4929,133
2,3,41,62,22
2,5,5343,5484,142
2,7,397,479,83
2,8,233,274,42
2,8,412,485,74
2,9,2843,2937,95
3,2,41,62,22
3,6,4014,4100,87
3,6,4198,4288,91
3,8,2712,2745,34
3,9,1929,1951,23
3,9,5059,5091,33
3,10,2134,2172,39
3,10,4126,4188,63
4,6,5113,5158,46
4,7,1096,1124,29
5,2,5343,5484,142
5,7,1288,1389,102
5,9,2615,2676,62
5,9,5357,5406,50
6,3,4014,4100,87
6,3,4198,4288,91
6,4,5113,5158,46
6,7,1107,1227,121
6,10,2210,2222,13
7,2,397,479,83
7,4,1096,1124,29
7,5,1288,1389,102
7,6,1107,1227,121
7,8,416,479,64
7,8,1971,2325,355
7,8,3719,3798,80
7,9,199,241,43
7,10,65,84,20
7,10,4583,4621,39
8,1,2715,2742,28
8,2,233,274,42
8,2,412,485,74
8,3,2712,2745,34
8,7,416,479,64
8,7,1971,2325,355
8,7,3719,3798,80
8,10,2976,3005,30
9,2,2843,2937,95
9,3,1929,1951,23
9,3,5059,5091,33
9,5,2615,2676,62
9,5,5357,5406,50
9,7,199,241,43
9,10,4034,4049,16
10,1,644,698,55
10,1,4797,4929,133
10,3,2134,2172,39
10,3,4126,4188,63
10,6,2210,2222,13
10,7,65,84,20
10,7,4583,4621,39
10,8,2976,3005,30
10,9,4034,4049,16
