ID,Other_ID,Start_Frame,End_Frame,Duration
1,3,144,215,72
1,3,3720,3841,122
1,3,3862,3894,33
1,3,4127,4149,23
1,5,462,481,20
1,5,606,653,48
1,7,309,382,74
1,10,218,233,16
2,4,4699,4812,114
2,7,4929,5018,90
2,7,5079,5106,28
2,7,5642,5678,37
2,9,2302,2425,124
2,10,2987,3016,30
3,1,144,215,72
3,1,3720,3841,122
3,1,3862,3894,33
3,1,4127,4149,23
3,4,4677,4793,117
3,6,104,137,34
3,7,4981,5013,33
3,9,5621,5645,25
3,10,166,200,35
4,2,4699,4812,114
4,3,4677,4793,117
4,6,5221,5251,31
5,1,462,481,20
5,1,606,653,48
5,10,3518,3588,71
6,3,104,137,34
6,4,5221,5251,31
6,8,4783,4927,145
7,1,309,382,74
7,2,4929,5018,90
7,2,5079,5106,28
7,2,5642,5678,37
7,3,4981,5013,33
7,9,5977,5992,16
8,6,4783,4927,145
9,2,2302,2425,124
9,3,5621,5645,25
9,7,5977,5992,16
9,10,1,21,21
10,1,218,233,16
10,2,2987,3016,30
10,3,166,200,35
10,5,3518,3588,71
10,9,1,21,21
