ID,Other_ID,Start_Frame,End_Frame,Duration
1,4,3965,3999,35
1,6,1680,1707,28
1,7,1634,1771,138
1,7,1852,2136,285
1,7,2875,2950,76
1,8,1622,1637,16
1,8,1764,1850,87
1,8,3449,3609,161
1,10,430,536,107
2,8,3615,3730,116
3,5,3212,3244,33
3,7,3766,3781,16
3,8,443,549,107
3,10,615,630,16
4,1,3965,3999,35
4,5,2069,2079,11
4,6,2960,2991,32
5,3,3212,3244,33
5,4,2069,2079,11
6,1,1680,1707,28
6,4,2960,2991,32
6,8,1372,1407,36
6,10,2240,2274,35
7,1,1634,1771,138
7,1,1852,2136,285
7,1,2875,2950,76
7,3,3766,3781,16
7,8,1787,1910,124
8,1,1622,1637,16
8,1,1764,1850,87
8,1,3449,3609,161
8,2,3615,3730,116
8,3,443,549,107
8,6,1372,1407,36
8,7,1787,1910,124
8,10,9,66,58
9,10,959,979,21
10,1,430,536,107
10,3,615,630,16
10,6,2240,2274,35
10,8,9,66,58
10,9,959,979,21
