ID,Other_ID,Start_Frame,End_Frame,Duration
1,3,3776,3857,82
1,3,4311,4339,29
1,5,1966,2027,62
1,8,4831,4898,68
2,4,4484,4538,55
2,5,3856,3873,18
2,5,3917,3990,74
2,5,4096,4192,97
2,7,1289,1311,23
2,8,2426,2472,47
2,8,3003,3021,19
2,8,3048,3196,149
2,10,1309,1338,30
3,1,3776,3857,82
3,1,4311,4339,29
4,2,4484,4538,55
4,6,3646,3682,37
5,1,1966,2027,62
5,2,3856,3873,18
5,2,3917,3990,74
5,2,4096,4192,97
5,7,182,418,237
5,7,2541,2643,103
5,8,360,436,77
6,4,3646,3682,37
6,8,3297,3355,59
6,9,3314,3354,41
7,2,1289,1311,23
7,5,182,418,237
7,5,2541,2643,103
8,1,4831,4898,68
8,2,2426,2472,47
8,2,3003,3021,19
8,2,3048,3196,149
8,5,360,436,77
8,6,3297,3355,59
8,9,3176,3228,53
9,6,3314,3354,41
9,8,3176,3228,53
9,10,3674,3702,29
9,10,3885,3929,45
10,2,1309,1338,30
10,9,3674,3702,29
10,9,3885,3929,45
