,id1,id2,start_frame,end_frame
0,3.0,2.0,33,82
1,3.0,2.0,110,110
2,3.0,2.0,1469,1481
3,3.0,2.0,1584,1630
4,3.0,2.0,1648,1648
5,2.0,3.0,35,64
6,2.0,3.0,82,100
7,2.0,3.0,1469,1481
8,2.0,3.0,1628,1630
9,2.0,3.0,1648,1653
10,1.0,3.0,657,671
11,1.0,3.0,692,694
12,1.0,3.0,715,743
13,1.0,3.0,779,786
14,3.0,1.0,657,671
15,3.0,1.0,692,694
16,3.0,1.0,706,743
17,3.0,1.0,779,786
18,2.0,4.0,818,819
19,4.0,2.0,818,819
20,1.0,4.0,827,832
21,4.0,1.0,827,842
22,1.0,2.0,880,880
23,1.0,2.0,922,922
24,1.0,2.0,950,951
25,1.0,2.0,986,1024
26,1.0,2.0,1079,1079
27,1.0,2.0,1092,1164
28,1.0,2.0,1185,1194
29,1.0,2.0,1217,1228
30,1.0,2.0,1251,1276
31,1.0,2.0,1290,1300
32,1.0,2.0,1347,1358
33,2.0,1.0,880,880
34,2.0,1.0,922,922
35,2.0,1.0,950,951
36,2.0,1.0,986,1024
37,2.0,1.0,1079,1079
38,2.0,1.0,1092,1164
39,2.0,1.0,1185,1194
40,2.0,1.0,1217,1228
41,2.0,1.0,1251,1276
42,2.0,1.0,1290,1300
43,2.0,1.0,1347,1358
44,2.0,1.0,1391,1391
45,3.0,4.0,1139,1174
46,3.0,4.0,1201,1206
47,3.0,4.0,1223,1245
48,4.0,3.0,1142,1219
49,4.0,3.0,1232,1241
