,id1,id2,start_frame,end_frame
0,6.0,8.0,0,0
1,6.0,8.0,22,22
2,6.0,8.0,40,45
3,6.0,8.0,213,214
4,6.0,8.0,230,230
5,6.0,8.0,1651,1652
6,6.0,8.0,2797,2797
7,6.0,8.0,3552,3564
8,6.0,8.0,3861,3863
9,6.0,9.0,0,0
10,6.0,9.0,2804,2818
11,6.0,9.0,3555,3567
12,6.0,9.0,3580,3596
13,6.0,9.0,4554,4560
14,6.0,9.0,4572,4602
15,6.0,9.0,4647,4648
16,6.0,9.0,4698,4810
17,6.0,9.0,4831,4892
18,6.0,9.0,4904,4904
19,6.0,9.0,4951,4951
20,6.0,9.0,5011,5011
21,6.0,9.0,5046,5145
22,6.0,9.0,5162,5179
23,6.0,9.0,5304,5308
24,6.0,9.0,5343,5354
25,6.0,10.0,0,27
26,6.0,10.0,62,63
27,6.0,10.0,92,94
28,6.0,10.0,213,214
29,6.0,10.0,227,414
30,6.0,10.0,428,484
31,6.0,10.0,1063,1064
32,8.0,9.0,0,39
33,8.0,9.0,1655,1655
34,8.0,9.0,2740,2756
35,8.0,9.0,2949,2971
36,8.0,9.0,3000,3025
37,8.0,9.0,3287,3293
38,8.0,9.0,3554,3564
39,8.0,10.0,0,29
40,8.0,10.0,201,231
41,8.0,10.0,732,753
42,8.0,10.0,872,891
43,8.0,10.0,903,903
44,8.0,10.0,926,928
45,8.0,10.0,944,977
46,8.0,10.0,996,997
47,8.0,10.0,1116,1155
48,8.0,10.0,1178,1180
49,8.0,10.0,1749,1779
50,8.0,10.0,1887,1887
51,8.0,10.0,1932,1934
52,8.0,10.0,5318,5318
53,8.0,10.0,5337,5378
54,8.0,10.0,5442,5443
55,8.0,10.0,5456,5564
56,8.0,10.0,5588,5597
57,8.0,10.0,5610,5612
58,8.0,10.0,5650,5650
59,8.0,10.0,5823,5871
60,8.0,10.0,5927,5942
61,8.0,10.0,5966,5966
62,9.0,8.0,0,39
63,9.0,8.0,1655,1655
64,9.0,8.0,2738,2756
65,9.0,8.0,2968,2972
66,9.0,8.0,3014,3025
67,9.0,10.0,0,28
68,9.0,10.0,1093,1093
69,10.0,8.0,0,39
70,10.0,8.0,201,231
71,10.0,8.0,732,782
72,10.0,8.0,872,879
73,10.0,8.0,903,904
74,10.0,8.0,925,978
75,10.0,8.0,1116,1155
76,10.0,8.0,1179,1190
77,10.0,8.0,1749,1769
78,10.0,8.0,1887,1911
79,10.0,8.0,5315,5316
80,10.0,8.0,5346,5367
81,10.0,8.0,5443,5443
82,10.0,8.0,5458,5564
83,10.0,8.0,5588,5598
84,10.0,8.0,5633,5650
85,10.0,8.0,5823,5879
86,10.0,8.0,5927,5942
87,10.0,9.0,0,29
88,6.0,5.0,7,13
89,6.0,5.0,55,75
90,6.0,5.0,93,108
91,6.0,5.0,137,146
92,6.0,5.0,215,255
93,6.0,5.0,464,477
94,5.0,6.0,55,58
95,5.0,6.0,93,103
96,5.0,6.0,216,226
97,5.0,6.0,248,255
98,1.0,8.0,56,56
99,1.0,8.0,200,201
100,1.0,8.0,231,232
101,1.0,8.0,257,269
102,1.0,8.0,749,763
103,1.0,8.0,775,780
104,1.0,8.0,809,813
105,1.0,8.0,1090,1114
106,1.0,8.0,1179,1190
107,1.0,8.0,1664,1667
108,1.0,8.0,1741,1743
109,1.0,8.0,1791,1791
110,1.0,8.0,1820,1839
111,8.0,1.0,56,56
112,8.0,1.0,159,172
113,8.0,1.0,186,197
114,8.0,1.0,232,232
115,8.0,1.0,257,269
116,8.0,1.0,751,779
117,8.0,1.0,808,813
118,8.0,1.0,1090,1114
119,8.0,1.0,1178,1190
120,8.0,1.0,1665,1666
121,8.0,1.0,1741,1743
122,8.0,1.0,1789,1836
123,10.0,6.0,62,63
124,10.0,6.0,94,95
125,10.0,6.0,215,514
126,10.0,6.0,1063,1064
127,10.0,5.0,65,65
128,10.0,5.0,79,95
129,10.0,5.0,166,183
130,10.0,5.0,198,235
131,10.0,5.0,249,250
132,10.0,5.0,378,380
133,10.0,5.0,398,398
134,10.0,5.0,465,482
