,id1,id2,start_frame,end_frame
0,5.0,2.0,58,92
1,5.0,2.0,113,118
2,5.0,2.0,202,268
3,5.0,2.0,280,280
4,5.0,2.0,2040,2114
5,5.0,2.0,2142,2169
6,5.0,2.0,3442,3473
7,5.0,2.0,3485,3496
8,5.0,2.0,3520,3520
9,5.0,2.0,5714,5717
10,5.0,2.0,5758,5758
11,5.0,2.0,5773,5774
12,5.0,2.0,5845,5848
13,2.0,5.0,68,118
14,2.0,5.0,136,148
15,2.0,5.0,173,178
16,2.0,5.0,211,231
17,2.0,5.0,243,283
18,2.0,5.0,2040,2114
19,2.0,5.0,2142,2169
20,2.0,5.0,3446,3496
21,2.0,5.0,5713,5726
22,2.0,5.0,5758,5758
23,2.0,5.0,5773,5774
24,2.0,5.0,5848,5848
25,3.0,5.0,167,213
26,3.0,5.0,255,385
27,3.0,5.0,5710,5731
28,3.0,5.0,5744,5745
29,3.0,5.0,5758,5758
30,3.0,5.0,5773,5773
31,5.0,3.0,167,213
32,5.0,3.0,255,264
33,5.0,3.0,280,280
34,5.0,3.0,5709,5745
35,5.0,3.0,5758,5758
36,5.0,3.0,5827,5828
37,3.0,2.0,172,172
38,3.0,2.0,198,213
39,3.0,2.0,253,280
40,3.0,2.0,962,963
41,3.0,2.0,986,1037
42,3.0,2.0,1053,1054
43,3.0,2.0,2867,2867
44,3.0,2.0,2905,2929
45,3.0,2.0,2949,2954
46,3.0,2.0,2974,3033
47,3.0,2.0,3053,3054
48,3.0,2.0,4187,4191
49,3.0,2.0,4204,4207
50,3.0,2.0,5334,5346
51,3.0,2.0,5361,5365
52,3.0,2.0,5405,5413
53,3.0,2.0,5441,5453
54,3.0,2.0,5466,5490
55,3.0,2.0,5540,5548
56,3.0,2.0,5581,5581
57,3.0,2.0,5698,5726
58,3.0,2.0,5740,5824
59,2.0,3.0,173,178
60,2.0,3.0,211,211
61,2.0,3.0,253,280
62,2.0,3.0,1002,1050
63,2.0,3.0,2867,2867
64,2.0,3.0,2905,2954
65,2.0,3.0,2974,3054
66,2.0,3.0,4187,4200
67,2.0,3.0,4212,4215
68,2.0,3.0,5333,5370
69,2.0,3.0,5405,5413
70,2.0,3.0,5441,5453
71,2.0,3.0,5466,5490
72,2.0,3.0,5540,5548
73,2.0,3.0,5581,5581
74,2.0,3.0,5739,5792
75,2.0,3.0,5812,5832
76,4.0,5.0,611,659
77,4.0,5.0,744,744
