,id1,id2,start_frame,end_frame
0,3.0,2.0,0,17
1,3.0,2.0,63,64
2,3.0,2.0,71,71
3,3.0,2.0,89,200
4,3.0,2.0,209,251
5,3.0,2.0,263,266
6,3.0,2.0,277,286
7,5.0,7.0,0,9
8,5.0,7.0,953,953
9,7.0,4.0,0,6
10,7.0,4.0,429,431
11,7.0,5.0,0,9
12,4.0,7.0,2,6
13,4.0,7.0,431,431
14,2.0,3.0,23,34
15,2.0,3.0,45,64
16,2.0,3.0,71,71
17,2.0,3.0,90,92
18,2.0,3.0,288,288
19,3.0,5.0,62,76
20,3.0,5.0,90,111
21,3.0,5.0,126,128
22,2.0,5.0,63,106
23,5.0,2.0,104,128
24,5.0,3.0,111,111
25,5.0,3.0,126,128
26,4.0,8.0,164,193
27,4.0,8.0,215,222
28,4.0,8.0,237,237
29,4.0,8.0,328,330
30,4.0,8.0,337,345
31,4.0,8.0,367,367
32,1.0,5.0,180,180
33,1.0,5.0,211,214
34,1.0,5.0,221,224
35,1.0,5.0,285,302
36,5.0,8.0,183,194
37,5.0,8.0,208,215
38,5.0,8.0,227,233
39,5.0,8.0,284,284
40,5.0,8.0,297,297
41,8.0,5.0,189,194
42,8.0,5.0,208,210
43,8.0,5.0,229,229
44,8.0,5.0,295,295
45,5.0,4.0,196,201
46,5.0,4.0,214,218
47,5.0,4.0,225,229
48,4.0,5.0,197,201
49,4.0,5.0,211,218
50,4.0,5.0,225,225
51,1.0,4.0,209,212
52,1.0,4.0,219,222
53,1.0,4.0,345,351
54,1.0,4.0,384,418
55,1.0,4.0,429,429
56,4.0,1.0,209,212
57,4.0,1.0,229,230
58,4.0,1.0,337,337
59,4.0,1.0,346,348
60,4.0,1.0,355,356
61,4.0,1.0,370,370
62,4.0,1.0,388,419
63,4.0,1.0,429,429
64,8.0,4.0,215,218
65,8.0,4.0,237,237
66,8.0,4.0,327,330
67,8.0,4.0,338,352
68,5.0,1.0,221,224
69,5.0,1.0,285,302
70,1.0,8.0,290,301
71,1.0,8.0,324,325
72,1.0,8.0,334,334
73,1.0,8.0,345,351
74,8.0,1.0,290,295
75,8.0,1.0,315,331
76,8.0,1.0,342,351
77,7.0,1.0,421,421
78,7.0,1.0,519,523
79,7.0,1.0,537,537
80,7.0,1.0,546,548
81,7.0,1.0,580,580
82,7.0,1.0,590,598
83,1.0,7.0,438,438
84,1.0,7.0,519,519
85,1.0,7.0,537,537
86,1.0,7.0,546,551
87,1.0,7.0,584,598
88,6.0,2.0,528,573
89,6.0,2.0,600,606
90,2.0,6.0,554,583
91,3.0,6.0,948,948
92,3.0,6.0,955,964
