,id1,id2,start_frame,end_frame
0,3.0,4.0,0,14
1,3.0,4.0,69,140
2,3.0,4.0,152,167
3,3.0,4.0,212,212
4,3.0,4.0,225,280
5,3.0,4.0,308,359
6,3.0,4.0,451,460
7,3.0,4.0,484,486
8,3.0,4.0,499,570
9,3.0,4.0,636,650
10,3.0,4.0,674,674
11,3.0,4.0,687,688
12,3.0,4.0,744,776
13,3.0,4.0,808,813
14,3.0,4.0,847,849
15,3.0,4.0,948,979
16,3.0,4.0,1051,1067
17,3.0,4.0,1091,1137
18,3.0,4.0,1182,1182
19,3.0,4.0,1295,1331
20,3.0,4.0,1362,1369
21,3.0,4.0,1426,1429
22,3.0,4.0,1483,1483
23,3.0,4.0,1495,1515
24,3.0,4.0,1546,1547
25,3.0,4.0,1742,1743
26,3.0,4.0,1755,1812
27,3.0,4.0,1826,1848
28,3.0,4.0,3207,3240
29,3.0,4.0,3260,3334
30,3.0,4.0,3346,3348
31,3.0,4.0,3361,3365
32,3.0,4.0,3393,3393
33,3.0,4.0,3424,3433
34,3.0,4.0,3445,3446
35,3.0,4.0,3460,3555
36,3.0,4.0,4235,4235
37,3.0,4.0,4502,4504
38,3.0,4.0,4516,4516
39,3.0,4.0,5190,5218
40,3.0,4.0,5538,5590
41,3.0,4.0,5622,5686
42,3.0,4.0,5716,5740
43,3.0,4.0,5757,5797
44,3.0,4.0,5812,5812
45,3.0,4.0,5829,5841
46,3.0,4.0,5861,5862
47,3.0,4.0,5925,5968
48,3.0,4.0,5982,5999
49,3.0,5.0,1,52
50,3.0,5.0,73,79
51,3.0,5.0,101,107
52,3.0,5.0,143,143
53,3.0,5.0,309,324
54,3.0,5.0,428,452
55,3.0,5.0,474,487
56,3.0,5.0,509,511
57,3.0,5.0,544,544
58,3.0,5.0,696,716
59,3.0,5.0,768,769
60,3.0,5.0,935,951
61,3.0,5.0,989,1003
62,3.0,5.0,1052,1052
63,3.0,5.0,1068,1074
64,3.0,5.0,1093,1103
65,3.0,5.0,1284,1291
66,3.0,5.0,1308,1310
67,3.0,5.0,1323,1331
68,3.0,5.0,1362,1367
69,3.0,5.0,1729,1743
70,3.0,5.0,1807,1812
71,3.0,5.0,1825,1830
72,3.0,5.0,1842,1848
73,3.0,5.0,1916,1918
74,3.0,5.0,3021,3036
75,3.0,5.0,3063,3173
76,3.0,5.0,3188,3190
77,3.0,5.0,3406,3406
78,3.0,5.0,3459,3466
79,3.0,5.0,3488,3514
80,3.0,5.0,3552,3555
81,3.0,5.0,3612,3618
82,3.0,5.0,3638,3654
83,3.0,5.0,3684,3694
84,3.0,5.0,3707,3751
85,3.0,5.0,3793,3793
86,3.0,5.0,3805,3825
87,3.0,5.0,3839,3852
88,3.0,5.0,4252,4253
89,3.0,5.0,4265,4268
90,3.0,5.0,4324,4325
91,3.0,5.0,4429,4429
92,3.0,5.0,4442,4461
93,3.0,5.0,4502,4504
94,3.0,5.0,4516,4517
95,3.0,5.0,5142,5175
96,3.0,5.0,5210,5210
97,3.0,5.0,5224,5225
98,3.0,5.0,5266,5311
99,3.0,5.0,5341,5375
100,3.0,5.0,5422,5430
101,3.0,5.0,5637,5637
102,3.0,5.0,5657,5678
103,3.0,5.0,5706,5709
104,3.0,5.0,5722,5797
105,3.0,5.0,5809,5809
106,3.0,5.0,5829,5851
107,3.0,5.0,5919,5940
108,3.0,5.0,5970,5982
109,3.0,5.0,5999,5999
110,5.0,3.0,1,52
111,5.0,3.0,79,79
112,5.0,3.0,101,107
113,5.0,3.0,143,143
114,5.0,3.0,162,177
115,5.0,3.0,308,338
116,5.0,3.0,428,452
117,5.0,3.0,471,488
118,5.0,3.0,509,510
119,5.0,3.0,523,523
120,5.0,3.0,544,544
121,5.0,3.0,696,719
122,5.0,3.0,748,770
123,5.0,3.0,935,973
124,5.0,3.0,1002,1002
125,5.0,3.0,1052,1052
126,5.0,3.0,1068,1078
127,5.0,3.0,1094,1100
128,5.0,3.0,1284,1291
129,5.0,3.0,1307,1307
130,5.0,3.0,1323,1339
131,5.0,3.0,1362,1367
132,5.0,3.0,1721,1721
133,5.0,3.0,1807,1812
134,5.0,3.0,1832,1849
135,5.0,3.0,3009,3011
136,5.0,3.0,3072,3138
137,5.0,3.0,3150,3190
138,5.0,3.0,3406,3406
139,5.0,3.0,3459,3466
140,5.0,3.0,3485,3514
141,5.0,3.0,3592,3654
142,5.0,3.0,3684,3694
143,5.0,3.0,3707,3751
144,5.0,3.0,3793,3817
145,5.0,3.0,4249,4253
146,5.0,3.0,4280,4280
147,5.0,3.0,4293,4294
148,5.0,3.0,4324,4325
149,5.0,3.0,4429,4429
150,5.0,3.0,4442,4461
151,5.0,3.0,4502,4504
152,5.0,3.0,4516,4517
153,5.0,3.0,5151,5160
154,5.0,3.0,5207,5210
155,5.0,3.0,5263,5313
156,5.0,3.0,5335,5361
