,id1,id2,start_frame,end_frame
0,1.0,3.0,0,14
1,1.0,3.0,36,48
2,1.0,3.0,82,82
3,3.0,1.0,0,59
4,4.0,2.0,0,134
5,4.0,2.0,151,177
6,4.0,2.0,214,227
7,4.0,2.0,430,433
8,2.0,4.0,3,48
9,2.0,4.0,64,134
10,2.0,4.0,151,177
11,2.0,4.0,214,234
12,2.0,4.0,247,247
13,2.0,4.0,379,379
14,2.0,4.0,430,433
15,1.0,4.0,544,544
16,4.0,1.0,544,544
17,1.0,2.0,671,700
18,2.0,1.0,690,700
19,2.0,1.0,748,748
20,3.0,4.0,762,844
21,3.0,4.0,864,866
22,3.0,4.0,892,914
23,3.0,4.0,927,927
24,4.0,3.0,762,796
25,4.0,3.0,827,847
26,4.0,3.0,862,914
