,id1,id2,start_frame,end_frame
0,1.0,4.0,0,0
1,1.0,4.0,10,10
2,1.0,4.0,1150,1150
3,1.0,4.0,1185,1186
4,1.0,4.0,1210,1229
5,3.0,7.0,0,3
6,3.0,7.0,246,292
7,3.0,7.0,305,312
8,3.0,7.0,324,324
9,4.0,3.0,0,3
10,4.0,3.0,127,156
11,4.0,3.0,981,1026
12,4.0,3.0,1093,1093
13,4.0,3.0,1100,1101
14,4.0,3.0,1111,1123
15,4.0,3.0,1133,1133
16,4.0,3.0,1197,1229
17,4.0,7.0,0,6
18,7.0,3.0,0,1
19,7.0,3.0,258,287
20,7.0,3.0,305,315
21,9.0,3.0,0,3
22,9.0,3.0,10,15
23,9.0,3.0,430,440
24,9.0,3.0,447,447
25,9.0,3.0,454,457
26,4.0,9.0,2,7
27,9.0,4.0,2,5
28,9.0,7.0,2,8
29,9.0,7.0,39,42
30,1.0,3.0,3,3
31,1.0,3.0,34,34
32,1.0,3.0,75,75
33,1.0,3.0,1149,1150
34,1.0,3.0,1210,1223
35,3.0,4.0,3,3
36,3.0,4.0,127,156
37,3.0,4.0,981,1035
38,3.0,4.0,1061,1063
39,3.0,4.0,1093,1093
40,3.0,4.0,1105,1123
41,3.0,4.0,1130,1135
42,3.0,4.0,1148,1151
43,3.0,4.0,1163,1163
44,3.0,4.0,1197,1229
45,3.0,9.0,3,3
46,3.0,9.0,10,15
47,3.0,9.0,437,437
48,3.0,9.0,454,457
49,7.0,9.0,3,13
50,7.0,9.0,39,42
51,5.0,9.0,4,15
52,7.0,4.0,4,5
53,4.0,1.0,10,10
54,4.0,1.0,1150,1150
55,4.0,1.0,1211,1229
56,5.0,7.0,10,11
57,7.0,5.0,10,11
58,9.0,5.0,15,15
59,3.0,5.0,16,18
60,3.0,5.0,26,39
61,5.0,3.0,16,18
62,5.0,3.0,26,39
63,2.0,4.0,19,19
64,4.0,2.0,19,19
65,1.0,5.0,28,98
66,7.0,6.0,94,120
67,7.0,6.0,130,140
68,7.0,6.0,153,235
69,7.0,6.0,261,265
70,7.0,6.0,290,292
71,7.0,6.0,305,306
72,7.0,6.0,328,334
73,7.0,6.0,353,353
74,7.0,6.0,361,361
75,7.0,6.0,1208,1210
76,7.0,6.0,1217,1217
77,6.0,7.0,104,105
78,6.0,7.0,130,135
79,6.0,7.0,153,177
80,6.0,7.0,187,223
81,6.0,7.0,264,265
82,6.0,7.0,279,285
83,6.0,7.0,292,292
84,6.0,7.0,305,306
85,6.0,7.0,328,334
86,6.0,7.0,353,353
87,6.0,7.0,550,550
88,6.0,7.0,557,561
89,6.0,7.0,594,595
90,6.0,7.0,1217,1218
91,3.0,6.0,248,272
92,3.0,6.0,288,292
93,3.0,6.0,304,306
94,3.0,6.0,1039,1039
95,6.0,3.0,262,272
96,6.0,3.0,304,306
97,6.0,3.0,324,324
98,6.0,3.0,873,966
99,6.0,3.0,979,979
100,6.0,3.0,1039,1040
101,6.0,3.0,1221,1229
102,6.0,1.0,413,426
103,6.0,1.0,434,443
104,6.0,1.0,453,456
105,6.0,1.0,1047,1117
106,6.0,1.0,1204,1214
107,1.0,8.0,538,543
108,1.0,8.0,553,557
109,1.0,8.0,568,570
110,8.0,1.0,538,543
111,8.0,1.0,553,557
112,8.0,1.0,564,570
113,8.0,2.0,654,654
114,8.0,2.0,680,681
115,8.0,2.0,689,698
116,8.0,2.0,735,735
117,2.0,8.0,734,735
118,4.0,6.0,987,987
119,4.0,6.0,1028,1030
120,4.0,6.0,1038,1040
121,6.0,4.0,987,1010
122,6.0,4.0,1019,1030
123,6.0,4.0,1038,1040
124,6.0,4.0,1229,1229
125,1.0,6.0,1047,1048
126,1.0,6.0,1059,1117
127,1.0,6.0,1135,1138
128,1.0,6.0,1204,1209
129,3.0,1.0,1149,1150
130,3.0,1.0,1211,1223
131,7.0,1.0,1209,1218
