,id1,id2,start_frame,end_frame
0,5.0,3.0,0,6
1,5.0,3.0,35,35
2,5.0,3.0,2901,2903
3,5.0,3.0,2953,2982
4,5.0,3.0,2996,3008
5,5.0,3.0,3057,3058
6,5.0,3.0,3965,4083
7,6.0,10.0,0,3
8,1.0,5.0,48,51
9,1.0,5.0,3010,3014
10,1.0,5.0,3032,3035
11,1.0,5.0,4796,4815
12,1.0,5.0,4859,4859
13,1.0,3.0,56,70
14,1.0,3.0,83,83
15,1.0,3.0,100,107
16,1.0,3.0,1286,1336
17,1.0,3.0,1366,1375
18,1.0,3.0,1449,1449
19,1.0,3.0,1470,1470
20,1.0,3.0,1496,1508
21,1.0,3.0,1540,1543
22,1.0,3.0,1569,1573
23,1.0,3.0,3057,3064
24,3.0,1.0,56,70
25,3.0,1.0,83,107
26,3.0,1.0,1286,1287
27,3.0,1.0,1300,1336
28,3.0,1.0,1374,1377
29,3.0,1.0,1569,1573
30,3.0,1.0,2984,2985
31,3.0,1.0,3042,3060
32,2.0,6.0,124,132
33,2.0,6.0,155,155
34,2.0,6.0,174,183
35,2.0,6.0,5034,5062
36,6.0,2.0,124,132
37,6.0,2.0,151,159
38,6.0,2.0,171,174
39,7.0,1.0,297,305
40,7.0,1.0,404,406
41,7.0,1.0,465,470
42,1.0,7.0,299,305
43,1.0,7.0,404,406
44,10.0,9.0,385,385
45,10.0,9.0,406,426
46,10.0,9.0,454,454
47,10.0,9.0,470,470
48,10.0,9.0,541,543
49,10.0,9.0,570,591
50,10.0,9.0,612,616
51,10.0,9.0,637,665
52,10.0,9.0,683,730
53,10.0,9.0,819,837
54,10.0,9.0,854,856
55,10.0,9.0,887,912
56,10.0,9.0,977,977
57,10.0,9.0,990,991
58,10.0,9.0,1003,1205
59,9.0,10.0,407,423
60,9.0,10.0,459,464
61,9.0,10.0,543,574
62,9.0,10.0,589,592
63,9.0,10.0,612,616
64,9.0,10.0,632,665
65,9.0,10.0,682,798
66,9.0,10.0,811,830
67,9.0,10.0,857,857
68,9.0,10.0,887,901
69,9.0,10.0,976,1024
70,9.0,10.0,1039,1150
71,9.0,10.0,1190,1205
72,1.0,6.0,726,745
73,1.0,6.0,760,769
74,1.0,6.0,4095,4109
75,1.0,6.0,4121,4121
76,1.0,6.0,4142,4146
77,1.0,6.0,4158,4168
78,1.0,6.0,4218,4218
79,1.0,6.0,5213,5224
80,1.0,6.0,5285,5285
81,1.0,6.0,5319,5388
82,6.0,1.0,731,747
83,6.0,1.0,4095,4166
84,6.0,1.0,5214,5224
85,6.0,1.0,5279,5354
86,6.0,1.0,5366,5388
87,8.0,7.0,765,787
88,8.0,7.0,2814,2999
89,8.0,7.0,3012,3019
90,8.0,7.0,3042,3078
91,8.0,7.0,3306,3306
92,8.0,7.0,3330,3355
93,8.0,7.0,3370,3371
94,8.0,7.0,3387,3400
95,8.0,7.0,4939,4942
96,8.0,7.0,5015,5023
97,1.0,2.0,786,786
98,1.0,2.0,834,865
99,1.0,2.0,934,941
100,1.0,2.0,953,953
101,1.0,2.0,1439,1444
102,1.0,2.0,1458,1464
103,1.0,2.0,1476,1487
104,1.0,2.0,3032,3035
105,1.0,2.0,3099,3105
106,1.0,2.0,3143,3143
107,1.0,2.0,3179,3211
108,1.0,2.0,3784,3790
109,1.0,2.0,3880,3880
110,1.0,2.0,3894,3898
111,1.0,2.0,5103,5123
112,1.0,2.0,5137,5137
113,2.0,1.0,786,786
114,2.0,1.0,802,809
115,2.0,1.0,835,843
116,2.0,1.0,864,865
117,2.0,1.0,877,877
118,2.0,1.0,938,953
119,2.0,1.0,1439,1483
120,2.0,1.0,3010,3027
121,2.0,1.0,3040,3056
122,2.0,1.0,3099,3099
123,2.0,1.0,3143,3143
124,2.0,1.0,3187,3219
125,2.0,1.0,3447,3447
126,2.0,1.0,3784,3784
127,2.0,1.0,3796,3796
128,2.0,1.0,3809,3809
129,2.0,1.0,5092,5138
130,1.0,4.0,996,1022
131,1.0,4.0,1107,1117
132,1.0,4.0,1848,1878
133,1.0,4.0,1891,1894
134,1.0,4.0,1951,1951
135,1.0,4.0,1987,2025
136,1.0,4.0,2064,2093
137,1.0,4.0,4735,4735
138,1.0,4.0,4777,4779
139,1.0,4.0,4812,4842
140,1.0,4.0,4857,4863
141,1.0,4.0,4885,4892
142,1.0,4.0,4924,4924
143,4.0,1.0,996,1051
144,4.0,1.0,1082,1085
145,4.0,1.0,1106,1147
146,4.0,1.0,1838,1892
147,4.0,1.0,1922,1939
148,4.0,1.0,1951,1951
149,4.0,1.0,1987,2025
150,4.0,1.0,4735,4735
151,4.0,1.0,4777,4779
152,4.0,1.0,4812,4840
153,4.0,1.0,4856,4906
154,4.0,1.0,4924,4924
155,6.0,8.0,1216,1220
156,6.0,8.0,1237,1262
157,6.0,8.0,1786,1808
158,6.0,8.0,3278,3278
159,6.0,8.0,3371,3392
160,6.0,8.0,3413,3413
161,6.0,8.0,4176,4182
162,6.0,8.0,4195,4197
163,7.0,9.0,1244,1244
164,9.0,7.0,1244,1244
165,4.0,5.0,1246,1268
166,4.0,5.0,1307,1307
167,4.0,5.0,1334,1379
168,4.0,5.0,4812,4815
169,4.0,5.0,4830,4830
170,4.0,5.0,4860,4860
171,4.0,5.0,4897,4912
172,4.0,5.0,4930,5007
173,4.0,5.0,5020,5093
174,4.0,5.0,5146,5153
175,4.0,5.0,5204,5227
176,4.0,5.0,5254,5258
177,4.0,5.0,5271,5281
178,5.0,4.0,1246,1268
179,5.0,4.0,1283,1292
180,5.0,4.0,1339,1347
181,5.0,4.0,3962,3964
182,5.0,4.0,4812,4819
183,5.0,4.0,4848,4848
184,5.0,4.0,4888,5093
185,5.0,4.0,5146,5153
186,5.0,4.0,5221,5227
187,5.0,4.0,5254,5257
188,5.0,4.0,5280,5295
189,5.0,4.0,5308,5308
190,7.0,10.0,1296,1326
191,10.0,7.0,1296,1326
192,2.0,9.0,1306,1311
