,filename,id,non_contact_crawl,non_contact_turn,non_contact_pause,contact_crawl,contact_turn,contact_pause,group
0,D1_L10.csv,1,0.0,0.0,0.0,-0.0587103960297936,0.1510220311552477,-0.09231120670740274,mutant
1,D1_L10.csv,2,0.0,0.0,0.0,-0.03202107346865936,0.05773203160813469,-0.02546324293034578,mutant
2,D1_L10.csv,3,0.0,0.0,0.0,-0.02411402113010803,-0.17529358731194053,0.1993520214872271,mutant
3,D1_L10.csv,4,0.0,0.0,0.0,-0.0062215197488260255,0.028452728251837794,-0.022361193519352684,mutant
4,D1_L10.csv,5,0.0,0.0,0.0,-0.1894088367014332,0.2977183160255781,-0.10829118712122354,mutant
5,D1_L10.csv,6,0.0,0.0,0.0,0.09814606958102108,-0.06499469980591163,-0.03317913548637504,mutant
6,D1_L10.csv,7,0.0,0.0,0.0,0.17657652862728648,-0.29924138767431496,0.12266364941388745,mutant
7,D1_L10.csv,8,0.0,0.0,0.0,0.1149243875916124,-0.11492275824117092,0.0,mutant
8,D1_L10.csv,9,0.0,0.0,0.0,0.04573392731459071,-0.2679621163774583,0.2222286366775741,mutant
9,D1_L10.csv,10,0.0,0.0,0.0,-0.042037465955019754,0.04527309673548748,-0.0032423273756274794,mutant
0,D2_L10.csv,1,0.0,0.0,0.0,-0.005347863815829939,-0.09373177137377807,0.09907178699816108,mutant
1,D2_L10.csv,2,0.0,0.0,0.0,0.04983321165373548,-0.018028699646273752,-0.03164676575963247,mutant
2,D2_L10.csv,3,0.0,0.0,0.0,0.0704417718432165,0.050873167960505776,-0.12151958049600782,mutant
3,D2_L10.csv,4,0.0,0.0,0.0,0.06157149775959356,-0.025519636485417274,-0.0358982032965701,mutant
4,D2_L10.csv,5,0.0,0.0,0.0,-0.07672199448273025,-0.0744258763997604,0.15111391765781884,mutant
5,D2_L10.csv,6,0.0,0.0,0.0,-0.13398214064068345,-0.23215090216940654,0.36589137069802685,mutant
6,D2_L10.csv,7,0.0,0.0,0.0,-0.07739421359661552,-0.07730706162754558,0.15455298645753485,mutant
7,D2_L10.csv,8,0.0,0.0,0.0,-0.012994702480422664,-0.04527876152356322,0.05841122354716946,mutant
8,D2_L10.csv,9,0.0,0.0,0.0,-0.17831136227882913,0.010239920695661093,0.16814332508850488,mutant
9,D2_L10.csv,10,0.0,0.0,0.0,-0.043025482096519324,-0.0629016642484945,0.10615132846509664,mutant
0,D3_L10.csv,1,0.0,0.0,0.0,-0.1007079250417764,0.05930775323306048,0.04139534389132938,mutant
1,D3_L10.csv,2,0.0,0.0,0.0,-0.0643752554372948,0.008410441944857159,0.05603356265861999,mutant
2,D3_L10.csv,3,0.0,0.0,0.0,-0.202407388464139,0.37982751671121784,-0.17740883563438348,mutant
3,D3_L10.csv,4,0.0,0.0,0.0,-0.11427156571274358,0.019376490848381292,0.0949061145627036,mutant
4,D3_L10.csv,5,0.0,0.0,0.0,-0.02428041641993444,-0.10616282389603603,0.1304770956082372,mutant
5,D3_L10.csv,6,0.0,0.0,0.0,0.015511286860156615,0.0407083290324116,-0.05637377855013648,mutant
6,D3_L10.csv,7,0.0,0.0,0.0,0.006401641100855974,0.10076433821525828,-0.10732387391566633,mutant
7,D3_L10.csv,8,0.0,0.0,0.0,-0.1589088006868064,-0.16335308699744502,0.3223259065198544,mutant
8,D3_L10.csv,9,0.0,0.0,0.0,0.05752951178465112,-0.07343424962693593,0.016064459506544667,mutant
9,D3_L10.csv,10,0.0,0.0,0.0,0.06022141247637119,-0.12425967096737472,0.06403693752822204,mutant
0,D6_L10.csv,1,0.0,0.0,0.0,-0.19000436835779652,-0.06946334183536136,0.2594665247005254,mutant
1,D6_L10.csv,2,0.0,0.0,0.0,0.03865340812102348,-0.04528166148845487,0.006630901670405804,mutant
2,D6_L10.csv,3,0.0,0.0,0.0,0.011571178951903474,0.08400380013522238,-0.09566594477973332,mutant
3,D6_L10.csv,4,0.0,0.0,0.0,0.03473981779019029,-0.037651624691876794,0.002937127916895992,mutant
4,D6_L10.csv,5,0.0,0.0,0.0,0.003479690949205811,0.021312180926886908,-0.02520853468661762,mutant
5,D6_L10.csv,6,0.0,0.0,0.0,0.029030751755374683,-0.038982537776055176,0.009885102624648354,mutant
6,D6_L10.csv,7,0.0,0.0,0.0,0.02188229103426113,-0.021264664501956985,-0.0003995890231559332,mutant
7,D6_L10.csv,8,0.0,0.0,0.0,0.020821335897596882,-0.02029471686688298,-0.0005472475069749075,mutant
8,D6_L10.csv,9,0.0,0.0,0.0,0.004625500356268007,-0.04217222000990942,0.03761638823621895,mutant
9,D6_L10.csv,10,0.0,0.0,0.0,-0.009415764863816968,-0.020047459503822786,0.029732187208796654,mutant
0,D8_L10.csv,1,0.0,0.0,0.0,-0.042152090212590525,-0.011206466951979308,0.05332905830109074,mutant
1,D8_L10.csv,2,0.0,0.0,0.0,-0.15821000628760093,0.08080911641392369,0.07736352467061859,mutant
2,D8_L10.csv,3,0.0,0.0,0.0,0.1945981803676329,-0.006623831626124761,-0.18772054898671794,mutant
3,D8_L10.csv,4,0.0,0.0,0.0,-0.0026327643260512096,0.08622001850840709,-0.08356876096450377,mutant
4,D8_L10.csv,5,0.0,0.0,0.0,-0.23607929291989754,0.15102546708285397,0.0850894209696021,mutant
5,D8_L10.csv,6,0.0,0.0,0.0,-0.19194357322593006,0.1184082906638517,0.07355248163072385,mutant
6,D8_L10.csv,7,0.0,0.0,0.0,0.04075779002194275,-0.04294097312160733,0.00227696341560802,mutant
7,D8_L10.csv,8,0.0,0.0,0.0,0.09652923982639756,-0.051465208536126544,-0.04505618211265597,mutant
8,D8_L10.csv,9,0.0,0.0,0.0,0.03267450421576895,-0.12700707181461093,0.09413668544367354,mutant
9,D8_L10.csv,10,0.0,0.0,0.0,0.013288659984956755,-0.011576851243232147,-0.0018911599252598406,mutant
0,D9_L10.csv,1,0.0,0.0,0.0,-0.07491766619555736,0.12556492970047067,-0.05065934089261906,mutant
1,D9_L10.csv,2,0.0,0.0,0.0,-0.36168008740258156,-0.3182547475014133,0.6798553408763136,mutant
2,D9_L10.csv,3,0.0,0.0,0.0,0.2137857993676397,0.04481919222724454,-0.2586057229103592,mutant
3,D9_L10.csv,4,0.0,0.0,0.0,-0.17390964411986048,0.11275130176212562,0.06114909604854194,mutant
4,D9_L10.csv,5,0.0,0.0,0.0,0.11688140020602812,-0.10906840654134377,-0.0077726373544533284,mutant
5,D9_L10.csv,6,0.0,0.0,0.0,0.3849049116163644,-0.18398652070327254,-0.20091918298248038,mutant
6,D9_L10.csv,7,0.0,0.0,0.0,-0.02585968763407328,0.038822725936357334,-0.012955528159136314,mutant
7,D9_L10.csv,8,0.0,0.0,0.0,0.03273510914866952,-0.056859947524801766,0.024149376253826137,mutant
