Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,766.14343,308.51596,741.67505,335.02185,717.97314,361.39984,0.7699938684517094
0,2,593.39246,557.94684,614.1172,583.8888,638.5546,605.5825,9.782753168934041
0,3,558.17114,427.03247,540.1965,450.13892,524.8535,475.6966,6.902113520021515
0,4,984.85443,496.68185,988.1337,497.26556,983.5784,497.31024,169.34519323904868
0,5,783.9797,487.00845,809.2579,490.05225,840.87585,491.35425,4.507934193634834
1,1,766.58466,307.6385,741.5668,334.22018,717.8862,361.3605,2.1584889196385393
1,2,592.34937,558.241,612.4764,585.37354,638.17755,606.72723,13.710471009622893
1,3,558.29865,425.34973,538.25696,446.6615,524.47156,472.65894,15.305617894178264
1,4,980.1769,495.7686,988.99915,497.24716,990.47723,500.87186,58.301081313469005
1,5,784.10297,486.14908,809.05066,489.25183,839.32385,490.70193,4.347083757172705
2,1,767.25684,307.195,742.2807,334.09235,718.42285,361.26938,1.6002220770858104
2,2,592.17096,558.21735,611.8816,585.3311,636.90674,606.6679,13.532981059312778
2,3,559.8111,422.5568,538.3477,444.35306,524.74243,470.87244,17.399852764128998
2,4,965.20807,484.2467,990.56525,495.9507,1009.15784,514.5458,20.22737984177627
2,5,793.2119,486.81335,807.82935,489.2594,828.272,490.5144,5.986709471375074
3,1,766.945,308.02023,741.6408,334.50064,718.293,361.13956,2.465692228371648
3,2,593.0844,558.19,613.02277,584.5886,636.8754,606.8769,9.878802136113043
3,3,558.76776,422.52835,538.564,443.47986,525.47766,468.76447,16.594701555249518
3,4,964.09576,483.52374,991.41077,495.77368,1010.5066,516.1074,22.643480259002537
3,5,818.3966,490.17245,806.02234,489.5882,800.3496,488.1401,11.616930153612733
4,5,786.8427,486.87808,805.2737,490.07825,833.5104,490.74814,8.491002155433648
4,1,767.25244,307.11145,742.1938,334.12277,718.49445,361.05548,1.5063618068928668
4,2,594.0974,558.42834,615.7245,585.74524,640.11304,609.12756,7.8375930179275795
4,3,559.4693,421.73798,538.94165,441.8395,525.80634,467.49335,18.487476605085362
4,4,963.4247,483.34348,991.0608,497.88077,1012.06903,517.54614,15.363535855504956
5,5,779.68506,485.48557,805.1042,489.57587,838.91077,490.64517,7.329700964377641
5,1,768.15454,305.8719,742.90625,333.38065,719.02814,360.81995,1.5163319709116874
