Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Swapped_In_Smoothing
0,1,489.27753,361.22668,507.1444,386.87292,511.12106,419.63123,27.94214667879841,False
0,2,637.541,446.5937,601.28296,457.13965,559.96515,461.85095,9.712417225308712,False
0,3,452.32446,536.89075,454.95285,560.6731,485.0702,576.68414,55.697251853024575,False
0,4,630.7145,462.01984,660.2188,472.83484,696.89404,479.4461,9.912048795575862,False
0,5,715.468,564.42773,687.04803,572.57355,663.0202,557.32074,48.40078311126581,False
1,1,487.60184,361.66742,505.22162,386.90262,509.42584,420.23672,27.735207998313875,False
1,2,639.7682,445.5056,601.8191,457.31512,560.0859,461.59824,11.426029744064243,False
1,3,456.13226,536.02374,454.4723,560.3285,484.35925,576.4729,65.53000401695503,False
1,4,637.2717,467.30908,661.1177,473.8669,691.6878,491.62445,14.774695426339411,False
1,5,716.84985,567.1673,687.2205,572.0783,660.55334,556.0091,40.48361260116973,False
2,1,491.01797,381.83395,505.724,388.0564,503.39383,404.99527,74.89835132974969,False
2,2,638.78534,445.68512,601.9663,457.3884,561.1327,461.25507,12.223968233951306,False
2,3,461.90912,536.7679,454.51712,560.6548,484.40714,576.42914,79.3724140349365,False
2,4,658.8213,471.24884,660.6786,470.92938,672.7944,471.8659,14.179493254437595,False
2,5,719.0158,564.50305,687.94653,570.88824,660.3268,554.3241,42.56543199929501,False
3,1,487.04327,367.4718,504.56577,386.08603,505.7567,411.80298,40.618084194858795,False
3,2,638.53644,445.45117,602.0347,457.49786,560.93176,461.58386,12.58744320691399,False
3,3,477.21042,560.75415,456.52252,561.25446,473.6246,559.5166,355.5830553613781,True
3,4,634.84735,467.18698,659.9393,471.1716,692.30725,476.13794,0.30001439728971957,False
3,5,719.99036,563.1255,688.6432,569.20264,660.1876,553.71545,39.52921063125579,False
4,1,483.21597,359.3478,503.9576,384.37436,507.54025,417.06866,33.3979088081525,False
4,2,638.3534,444.88635,602.2713,457.62204,560.87976,461.92303,13.508894341789311,False
4,3,481.7975,570.2515,456.57434,561.8114,469.4926,547.999,294.58306619267387,True
4,4,646.4378,469.35895,659.0042,471.0159,682.1954,474.2099,0.3310223381465467,False
4,5,720.4076,560.74207,689.95123,568.7252,663.43335,553.7864,44.082541838800736,False
5,1,481.44434,356.8507,502.79434,382.9609,507.18216,415.75696,31.652054550783394,False
5,2,634.83936,445.80255,600.5104,458.68384,561.77997,461.58383,16.28554696179711,False
5,3,478.3895,565.7933,457.17908,562.4713,474.66092,555.112,328.26909233516324,True
5,4,627.17993,465.51566,657.26666,471.13736,695.0485,477.8406,0.52301937574777,False
6,1,480.23044,355.81165,501.53943,381.06454,507.65915,413.6952,29.536310176415054,False
6,2,637.79285,443.00415,604.0424,457.96307,562.4321,460.42242,20.52146858644862,False
6,3,483.82047,567.9759,458.02686,564.0988,479.04932,555.26276,328.6540392851745,True
6,4,639.7523,467.96417,657.63245,470.84885,686.60455,475.40784,0.22117343270373202,False
6,5,731.1668,567.4455,697.1204,567.3953,667.33484,558.5936,16.378077713878923,False
7,1,477.6974,353.9614,499.91626,378.02365,508.5621,411.23248,28.12624276894696,False
7,2,639.9853,443.37888,605.51434,456.17093,564.67456,459.64316,15.500067188571302,False
