Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,533.5106,568.7224,563.5152,583.8763,595.4371,599.88226,0.1655109964311004
0,2,554.5792,338.2971,552.6825,348.65994,570.78485,369.8647,50.859305498018834
0,3,529.86707,315.96008,516.6517,300.48218,502.82706,309.93903,83.88295247936603
0,4,636.02637,651.7505,616.31006,657.25665,594.1831,659.5127,9.781687859561972
1,1,534.9441,569.41473,564.3717,584.2196,595.177,600.3301,0.9022228806807956
1,2,564.71985,353.1989,553.494,349.77185,564.25543,358.65405,157.44116088898488
1,3,539.4221,318.10217,517.18567,300.46432,494.42432,307.5894,55.803143174952666
1,4,635.43097,652.2627,616.8354,657.25104,595.3113,658.78015,10.952725757758708
2,1,536.1592,570.87585,565.526,585.6579,595.1227,601.53687,1.4951477242869853
2,2,559.62964,345.23834,553.45026,349.12845,568.717,365.6977,100.46549071493837
2,3,538.05084,317.7257,517.4034,300.1476,495.98325,307.9381,60.395527798102954
2,4,634.04956,652.3964,616.99347,658.13513,595.96375,657.7743,19.579092302273462
3,1,538.1054,572.3577,566.83044,585.3018,596.8041,601.48285,4.104700395152684
3,2,556.2728,331.6926,553.629,348.54614,570.99316,371.63992,45.854668314029155
3,3,506.96732,310.9835,517.66,299.6335,527.5184,314.86188,103.79022987971409
3,4,635.41284,652.56323,617.61115,658.0077,596.01495,657.64716,17.962127867614974
4,1,539.98975,572.70215,568.6346,585.7012,597.6598,602.7084,5.959503352014373
4,2,561.60675,349.87064,553.8083,348.6885,566.5666,359.27744,148.92810508570545
4,3,512.5928,312.2445,518.24506,299.65427,522.68164,313.6539,138.23891950669073
4,4,610.56696,658.17377,619.63947,659.3611,630.25793,654.2819,33.01923426061352
5,1,542.0971,573.45233,569.63354,587.1355,598.0162,603.8609,4.086865637785953
5,2,560.711,350.8876,553.8857,349.34363,565.8182,359.21768,153.1390070294789
5,3,534.6139,316.84183,518.32733,299.6247,501.1468,309.0869,75.43486097791735
5,4,596.801,661.3636,620.5071,660.6887,643.558,653.2033,16.35971898868281
6,1,543.2412,573.93475,571.4696,587.79346,599.4833,604.246,4.277137207057858
6,2,559.716,347.66632,554.0063,349.2883,565.95825,361.52316,118.47144327262998
6,3,513.63934,312.10498,518.72345,299.76495,521.376,313.85312,146.94542955449432
6,4,595.855,662.3285,619.75934,661.59595,642.7919,653.53394,17.53617292168124
7,1,543.5919,574.0192,571.78674,587.739,599.6321,605.4923,6.572382653824125
7,2,561.06274,353.00558,553.74585,348.54956,564.6475,357.90005,170.72152670875238
7,3,495.49313,306.83292,519.50446,300.46887,538.5739,319.4874,59.767934297829754
