Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Swapped_In_Smoothing
0,1,501.8999,562.64264,521.1193,586.29895,550.6561,601.0687,24.34089456580459,False
0,2,552.0172,482.95303,569.76624,504.42184,599.23645,520.8338,21.304840953890125,False
0,3,552.40845,597.44104,569.98364,611.5195,589.7534,625.3684,3.684455145853967,False
0,4,518.9003,405.14136,496.21863,416.01166,483.7369,443.77002,40.182372331498975,False
0,5,524.4763,413.33655,518.6739,437.7601,545.95233,463.65067,59.85955446129359,False
1,1,501.4557,562.3634,520.92584,586.1609,550.4879,600.9338,24.158905119281165,False
1,2,551.6553,481.0841,569.6846,503.69104,599.31836,520.7284,21.5313290768602,False
1,3,552.39996,597.58777,569.6805,611.3196,588.835,625.3017,2.344016088640296,False
1,4,518.07324,408.0616,496.6156,414.67365,488.2296,440.8615,55.11734489542819,False
1,5,523.2063,408.3516,519.6848,439.43527,547.5382,468.62863,50.11793760476226,False
2,1,501.68423,561.55096,520.62714,585.27515,549.75323,600.35004,24.029013545809526,False
2,2,551.3669,480.08676,569.8111,503.18958,599.0438,521.3169,19.594546240326267,False
2,3,551.84985,597.398,569.2547,611.1792,588.2018,625.7122,0.8829307584185987,False
2,4,508.9597,417.99896,496.8506,414.00183,501.10733,428.53394,124.59407077653863,False
2,5,516.932,413.6769,520.3498,443.3496,547.9979,471.00433,38.42263754355364,False
3,1,501.72754,560.16925,519.73834,584.23914,547.6953,599.4686,24.614316660632063,False
3,2,550.9756,479.96466,569.97815,502.07593,599.0606,520.8565,16.470849592781523,False
3,3,550.5599,597.24133,568.6712,610.45056,588.10016,625.6446,1.9217283872959239,False
3,4,508.7441,423.63562,495.26678,415.84805,512.58405,419.03314,160.40119757965013,False
3,5,517.2602,414.54633,521.2847,443.82465,547.681,471.13123,36.202211464618,False
4,1,501.67477,558.59283,518.49384,582.02106,545.2407,598.5243,22.650309546814437,False
4,2,550.5714,481.5725,569.52606,501.69485,598.12103,519.3168,15.067741390329674,False
4,3,548.11505,595.58453,567.3408,609.2792,587.7046,625.33356,2.788883791547564,False
4,4,491.99185,432.89194,497.52054,411.87183,525.0894,403.9346,239.20249578750077,True
4,5,517.2085,414.08582,521.1521,443.4404,547.0361,470.52856,36.0462335939676,False
5,1,501.23218,557.4409,517.19995,580.8499,543.1252,597.08325,23.648136640785186,False
5,2,555.8504,490.02426,568.586,500.603,592.0986,512.5327,12.812346673376025,False
5,3,545.66754,594.01917,566.669,608.53625,587.8669,625.7202,4.37591372521159,False
5,4,501.32446,424.1024,496.79068,413.2696,522.81134,410.5573,106.75970074373541,False
5,5,516.0613,415.56122,521.84686,444.15723,546.78314,471.27008,31.167648369605963,False
6,1,500.9579,556.9289,516.4758,580.0742,541.42456,595.98267,23.636393191526924,False
6,2,586.944,513.42255,567.506,500.1549,560.943,486.8331,29.456858181278545,False
6,3,544.803,593.2732,566.58374,608.096,587.791,625.544,5.208308242494612,False
6,4,511.88303,412.54977,497.9724,411.87207,513.3882,420.10788,154.67597942816445,False
6,5,517.4453,428.37506,522.1193,445.38312,545.62744,470.33237,27.93029378391918,False
