Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,538.3374,530.31433,564.498,517.90533,582.1345,494.029,28.171320076397112
0,2,524.9926,524.9139,552.7119,514.6923,568.3289,498.9298,25.024098251427944
0,3,529.77924,528.48846,560.57104,517.93884,579.81464,495.74734,30.157418451490127
0,4,564.9813,453.49088,572.11975,484.8357,560.6664,514.18695,34.14624354173196
1,1,540.14795,529.5222,563.9643,518.4954,580.59863,496.62222,27.903604195309423
1,2,530.2436,521.9988,551.6047,514.0886,559.7124,504.4691,29.554552140218174
1,3,533.8786,520.52466,557.7853,511.40778,568.75525,494.1174,36.732201129052456
1,4,561.89636,472.28287,571.97156,485.74487,563.13043,500.45718,67.81489713075298
2,1,537.1169,532.40717,562.92914,518.9799,581.02747,495.88443,24.433719372691336
2,2,531.37506,520.7777,549.81433,513.86847,556.4347,506.3126,28.23447754929338
2,3,530.9984,521.5641,557.7594,510.9277,569.6506,488.9477,39.91086222922675
2,4,566.02216,490.22357,571.79913,487.32745,563.992,474.74838,95.20001671870703
3,1,535.4405,531.6942,562.152,519.51117,580.6704,497.597,25.283135092270122
3,2,527.7469,522.3816,550.5266,514.2414,561.0787,504.32767,23.549461995393507
3,3,527.82355,521.2718,557.9327,511.0233,569.62823,485.5125,46.573167660935724
3,4,565.90436,457.48172,571.5806,486.5841,566.1213,507.49216,25.670585260128096
4,1,547.1417,520.031,562.29834,520.0391,573.13544,508.89807,45.823025342197056
4,2,530.08435,518.2357,548.75854,514.3057,555.5764,509.11374,25.405726547345953
4,3,526.8299,520.02234,559.1178,508.19235,570.27277,477.6897,49.78992581385828
4,4,565.858,471.88437,572.4064,486.43063,568.23914,489.69135,76.19430598973983
5,1,551.1017,526.1021,562.88654,521.0945,566.12555,506.10416,54.785686629047945
5,2,524.9437,522.8109,549.0397,514.90826,560.351,504.81134,23.59555914678393
5,3,538.7282,524.65155,562.1423,499.4848,568.78973,469.82614,30.300742173839947
5,4,566.5108,491.66315,572.2162,485.45316,568.3914,462.5301,52.047689228621756
6,1,538.8204,532.32623,562.2578,521.309,577.9501,499.33682,29.28929723235951
