Frame,ID1,ID2,ID3,ID4,ID5
4,,,,,4
5,,,,,4
6,,,,,4
7,,,,2,4
8,,,,2,4
9,,,,,4
10,,,,,4
11,,,,,
14,0,2,3,1,4
15,0,2,4,1,3
16,0,2,4,1,3
17,0,2,3,1,4
21,0,2,3,1,4
23,0,2,4,1,3
24,0,2,3,1,4
27,0,2,4,1,3
29,0,2,3,1,3
38,1,0,3,2,6
39,,,3,,
40,,,3,,
41,,,3,,
42,,,3,,
43,,,3,,
44,3,,2,,8
45,5,,2,,8
46,,,2,,8
47,,,2,,7
48,7,,2,1,5
49,,,2,,
50,,,3,,2
51,,,3,,2
52,,,3,,2
53,,,3,,
54,,,3,,
55,,,3,,
56,,,3,,1
57,,,3,,
58,,,3,,
59,,,3,,
60,,,3,,
61,,,3,,
62,,,3,,
63,,,3,,
64,,,3,,
65,,,3,,
66,,,3,,
67,,,3,,
68,,,3,,
69,,,3,,
70,,,3,,
71,,,3,,
72,6,,3,,
73,,,3,,
74,6,,3,,
75,9,,2,,3
76,,,1,,3
77,,,2,,11
78,,,1,,15
79,,,1,,19
80,,,1,,7
81,,,2,,9
82,,,3,,8
83,,,2,,9
84,,,2,,7
85,,,3,,6
86,,,3,0,
87,,,3,0,
88,,,3,0,
89,,,3,,
90,,,,,4
94,,,3,,5
95,,,,0,5
96,,,,0,5
101,,,,0,
103,,,,0,
108,3,,,,
109,,,,,3
110,2,,,,
111,1,,,,
115,1,,,,
116,2,,,,
117,1,,,,
118,0,,,,
119,0,,,,
122,1,,,,
123,,,8,,2
124,,,,,3
125,,,7,0,2
126,,,7,0,2
127,,,7,0,2
128,,,6,,
129,,,6,,
130,,,5,,3
139,0,,,1,
140,1,,,0,
141,,,,0,
144,2,,,0,3
145,,,,,2
146,,,6,,0
147,,,,,1
150,,,5,,1
156,1,,,,
157,,,,1,
158,,,,1,
171,,,,0,3
172,,,,1,
173,,,,1,
175,,,,1,6
176,,,,,5
177,,,,,7
178,,,,,6
179,,,,,6
188,,,,2,
189,,,,1,
199,,,4,,
200,,,3,4,
201,,,3,,
202,,,3,4,
203,,,3,4,1
204,,,3,4,1
205,,,8,6,
207,,,12,,
208,,,,7,
209,5,,,,
210,5,,,,
