epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.33,0.9948,0.7943,0.14541,0.61905,0.88402,0.95944,0.84487,0.90692,0.60424,0.94843,0.87583,0.93225,0.87806,1.03203,0.4686,0.0221,0.48328,0.96853,0.00333262,0.00333262,0.00333262
2,2533.98,0.72118,0.15345,0.04427,0.43933,0.81378,0.95992,0.85541,0.89439,0.60366,0.94702,0.85128,0.93519,0.88587,1.11788,0.43674,0.00941,0.49454,1.0243,0.00650097,0.00650097,0.00650097
3,3762.54,0.65778,0.12728,0.03202,0.40245,0.80853,0.98396,0.83333,0.8924,0.62823,0.98396,0.83333,0.93572,0.88569,1.0515,0.41908,0.0213,0.43677,0.99768,0.00950433,0.00950433,0.00950433
4,4989.26,0.55947,0.09126,0.02603,0.35324,0.80013,0.97023,0.85714,0.91171,0.64889,0.93645,0.87711,0.92653,0.88658,1.09568,0.4161,0.02219,0.4298,1.03476,0.0092575,0.0092575,0.0092575
5,6215.77,0.44756,0.0568,0.01904,0.2949,0.78897,0.96963,0.84524,0.90097,0.63701,0.9586,0.86905,0.93043,0.89747,1.08842,0.40816,0.00771,0.43384,1.01531,0.00901,0.00901,0.00901
6,7440.51,0.3988,0.04528,0.01562,0.26577,0.7844,0.97867,0.84524,0.90929,0.63271,0.94803,0.86868,0.92773,0.89635,1.10427,0.40845,0.01171,0.43023,1.02632,0.0087625,0.0087625,0.0087625
7,8683.5,0.36632,0.03782,0.01477,0.24741,0.78196,0.96963,0.85714,0.91767,0.64328,0.96963,0.85714,0.93149,0.89558,1.10152,0.41619,0.0132,0.4312,1.05393,0.008515,0.008515,0.008515
8,10007.4,0.34527,0.03398,0.01306,0.23483,0.78023,0.97065,0.85714,0.91554,0.64108,0.97065,0.85714,0.92626,0.88856,1.09329,0.42369,0.01698,0.43623,1.05295,0.0082675,0.0082675,0.0082675
9,11287.5,0.32773,0.03053,0.01229,0.22399,0.77788,0.98624,0.85329,0.91798,0.6401,0.97069,0.85714,0.92803,0.88919,1.08373,0.42473,0.01457,0.43933,1.04424,0.00802,0.00802,0.00802
10,12517.8,0.31701,0.02819,0.01166,0.21687,0.77786,0.95719,0.86905,0.91773,0.64194,0.95719,0.86905,0.92799,0.89013,1.09337,0.42695,0.01253,0.43962,1.04623,0.0077725,0.0077725,0.0077725
